Tracking_ID,Status,Size_T1_Ref,Size_T2,Original_T2_ID,T2_ID
1,Disappeared,39,0,,N/A
2,Disappeared,28,0,,N/A
3,Disappeared,28,0,,N/A
4,Shrunk,67,31,2.0,4
5,Stable,51,51,3.0,5
6,Shrunk,46,31,4.0,6
7,Disappeared,21,0,,N/A
8,Enlarged,21,29,12.0,8
9,Disappeared,27,0,,N/A
10,Enlarged,23,30,13.0,10
11,Stable,34,38,16.0,11
12,Stable,36,36,24.0,12
13,Disappeared,24,0,,N/A
14,Shrunk,103,70,27.0,14
15,Disappeared,23,0,,N/A
16,"Merged (from [np.int32(16), np.int32(19)])",N/A,9707,35.0,16
17,Shrunk,34,26,29.0,17
18,Stable,3205,3596,34.0,18
19,Split (from 19),6585,1611,20.0,19
20,Stable,1920,2078,36.0,20
21,Stable,4365,4939,37.0,21
22,Stable,2139,2389,38.0,22
23,Shrunk,569,419,39.0,23
24,Shrunk,235,117,40.0,24
25,Stable,372,422,41.0,25
26,Enlarged,510,675,42.0,26
27,Disappeared,39,0,,N/A
28,Disappeared,67,0,,N/A
29,Disappeared,27,0,,N/A
30,Disappeared,121,0,,N/A
31,New,N/A,48,1.0,31
32,New,N/A,46,5.0,32
33,New,N/A,46,6.0,33
34,New,N/A,29,7.0,34
35,New,N/A,47,8.0,35
36,New,N/A,243,9.0,36
37,New,N/A,105,10.0,37
38,New,N/A,20,11.0,38
39,New,N/A,451,14.0,39
40,New,N/A,28,15.0,40
41,New,N/A,130,17.0,41
42,New,N/A,23,18.0,42
43,New,N/A,80,19.0,43
44,New,N/A,44,21.0,44
45,New,N/A,39,22.0,45
46,New,N/A,29,23.0,46
47,New,N/A,23,25.0,47
48,New,N/A,46,26.0,48
49,New,N/A,21,28.0,49
50,New,N/A,31,30.0,50
51,New,N/A,22,31.0,51
52,New,N/A,169,32.0,52
53,New,N/A,48,33.0,53
